"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
0c3a6dd4-1fc9-464b-a8b1-0b5a2745ec33,Calculate,Calculate,true,false,calculateBtn,All,false,"#N/A",913.0,onFlagCalculate,"#N/A","#N/A",Calculate,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
16b6b6bf-3084-4422-b1de-14f23b2fe16d,Launch External,"#N/A",true,false,"#N/A",All,false,"#N/A",900.0,"#N/A","#N/A","#N/A",Launch External,Configurator,"#N/A",Product Configurator,"#N/A","#N/A",Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
1727bb97-0a22-44d8-9fcd-7973653872b1,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,"#N/A",901.0,onAddFavorites,"#N/A","#N/A",Add Favorites,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
1d3c99cb-5366-4899-8095-acd374a4c411,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",914.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
26cec7b3-ef6d-413c-ae63-d217bfea24ff,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,"#N/A",991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
2b768709-5477-4df1-8147-7b0dc2ac7edf,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",904.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
2cbfc573-71b0-409d-a289-69dc024e8313,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",953.0,updateLineOptional,"#N/A","#N/A",Optional: None,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
33d85c15-832e-4209-a60c-d3910776cb22,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,"#N/A",912.0,onQuickSave,"#N/A","#N/A",Quick Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
39510c28-4d67-4703-91df-b244216da7dc,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,"#N/A",997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
3ee55ae4-9432-43f4-a02a-8cf07b5b6984,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,"#N/A",995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
405d6fee-5ea9-4f9c-a6ac-a8d75bfde0b8,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,"#N/A",901.0,onAmendSubscriptions,"#N/A","#N/A",Amend Subscriptions,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
40da708f-ea4d-435c-a2f5-60c7ab201f60,Add To Favorites,Add To Favorites,true,false,addToFavBtn,All,false,"#N/A",990.0,onAddToFavorites,sb-icon-star-empty,star-empty,Add To Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
4653c261-e66c-4ef7-993d-997c3a903575,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
46b78cf1-26d0-4965-9d62-52469ece6c73,View Pricing Guidance,View Pricing Guidance,true,false,viewPricingGuidanceBtn,All,false,"#N/A",999.0,onViewPricingGuidance,sf-icon-target,target,View Pricing Guidance,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
4a3f91d4-2d8e-4e3f-8b4d-165b1e44a73c,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",915.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
4ce2a249-2211-42cf-a06a-6ac8e24f4fdd,Apply Edit Rules,Apply Edit Rules,true,false,"#N/A",All,false,"#N/A",901.0,"#N/A","#N/A","#N/A",Apply Rules,Configurator,"#N/A",Product Configurator,"#N/A","#N/A",Button,"#N/A","#N/A"
573e2686-317d-4901-a5b5-c3bb3e5279d1,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",909.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
5cde6b1d-4b26-4fbe-80ce-40ef8d4d3ed3,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,"#N/A",992.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
66ee17c4-ca5b-4582-ac40-1ba6acf8746e,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",911.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
6fe899c5-554a-406b-a6c3-72c706a6637f,Save,Save,true,true,saveBtn,All,false,"#N/A",916.0,onSave,"#N/A","#N/A",Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
71e1b790-537a-4b83-9e81-8f0017d42636,Clone Line,Clone Line,true,false,cloneBtn,All,false,"#N/A",993.0,onCloneLine,sf-icon-copy,copy,Clone Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
76753b6c-2503-4439-be19-bf38a4ee27c3,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,"#N/A",903.0,onRenewSubscriptions,"#N/A","#N/A",Renew Subscriptions,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
7a9467f8-362f-4a23-9181-e112088d59a9,Add Products,Add Products,true,false,addProductsBtn,All,false,"#N/A",900.0,onAddProducts,"#N/A","#N/A",Add Products,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Menu,"#N/A","#N/A"
7cb58e6e-a175-447f-9de9-e935908a2a20,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,"#N/A",902.0,onUpgradeAssets,"#N/A","#N/A",Upgrade Assets,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
7da965bf-ddd9-45f3-878d-f15af02505ba,Delete Line,Delete Line,true,false,deleteBtn,All,false,"#N/A",994.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
80e8d943-fbb6-4506-9359-6ea133072bfb,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,"#N/A",907.0,onDeleteLines,"#N/A","#N/A",Delete Lines,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
a861c59c-452b-4206-8f23-34e92ece3240,Reset Discounts - Quote,Reset Discounts,false,false,resetDiscBtn,All,false,"#N/A",908.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
afe6af26-b9f5-4ad9-b45e-79b74358d7e4,Ungroup,Ungroup,true,false,ungroupBtn,All,false,"#N/A",906.0,onUngroup,"#N/A","#N/A",Ungroup,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
b77d5b4b-92de-4e55-aeea-64907b5e0cf2,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,"#N/A",950.0,onCloneGroup,"#N/A","#N/A",Clone Group,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
beb04fca-9b92-49b7-912c-1eecd914a9a5,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,"#N/A",951.0,onDeleteGroup,"#N/A","#N/A",Delete Group,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
dd1b00f7-e51c-4406-b1eb-68bec8773fe6,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,"#N/A",996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
ec290d3d-6d51-4881-8a0e-fa6a05ea8472,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",954.0,onResetDiscounts,"#N/A","#N/A",Reset Discounts,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
f2a527b6-5e12-42e3-995f-6a9c3dcdbe52,Add Group,Add Group,true,false,addGroupBtn,All,false,"#N/A",905.0,onAddGroup,"#N/A","#N/A",Add Group,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Menu,"#N/A","#N/A"
f644a29f-db4e-4352-b6dc-6d271d0d788f,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",952.0,updateLineOptional,"#N/A","#N/A",Optional: All,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
fd69ebf8-5c85-4377-9184-ca5a5f380b69,Optional: None - Quote,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",910.0,updateLineOptional,sb-icon-dot-circled,dot-circled,Optional: None,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
